species weight length1 length2 length3 heightpc widthpc sex
bream 242 23.2 25.4 30 38.4 13.4 unknown
bream 290 24 26.3 31.2 40 13.8 unknown
bream 340 23.9 26.5 31.1 39.8 15.1 unknown
bream 363 26.3 29 33.5 38 13.3 unknown
bream 430 26.5 29 34 36.6 15.1 unknown
bream 450 26.8 29.7 34.7 39.2 14.2 unknown
bream 500 26.8 29.7 34.5 41.1 15.3 unknown
bream 390 27.6 30 35 36.2 13.4 unknown
bream 450 27.6 30 35.1 39.9 13.8 unknown
bream 500 28.5 30.7 36.2 39.3 13.7 unknown
bream 475 28.4 31 36.2 39.4 14.1 unknown
bream 500 28.7 31 36.2 39.7 13.3 unknown
bream 500 29.1 31.5 36.4 37.8 12 unknown
bream NA 29.5 32 37.3 37.3 13.6 male
bream 600 29.4 32 37.2 40.2 13.9 male
bream 600 29.4 32 37.2 41.5 15 unknown
bream 700 30.4 33 38.3 38.8 13.8 male
bream 700 30.4 33 38.5 38.8 13.5 unknown
bream 610 30.9 33.5 38.6 40.5 13.3 unknown
bream 650 31 33.5 38.7 37.4 14.8 unknown
bream 575 31.3 34 39.5 38.3 14.1 male
bream 685 31.4 34 39.2 40.8 13.7 unknown
bream 620 31.5 34.5 39.7 39.1 13.3 unknown
bream 680 31.8 35 40.6 38.1 15.1 unknown
bream 700 31.9 35 40.5 40.1 13.8 unknown
bream 725 31.8 35 40.9 40 14.8 male
bream 720 32 35 40.6 40.3 15 unknown
bream 714 32.7 36 41.5 39.8 14.1 unknown
bream 850 32.8 36 41.6 40.6 14.9 unknown
bream 1000 33.5 37 42.6 44.5 15.5 female
bream 920 35 38.5 44.1 40.9 14.3 female
bream 955 35 38.5 44 41.1 14.3 unknown
bream 925 36.2 39.5 45.3 41.4 14.9 male
bream 975 37.4 41 45.9 40.6 14.7 female
bream 950 38 41 46.5 37.9 13.7 unknown
whitefish 270 23.6 26 28.7 29.2 14.8 unknown
whitefish 270 24.1 26.5 29.3 27.8 14.5 unknown
whitefish 306 25.6 28 30.8 28.5 15.2 unknown
whitefish 540 28.5 31 34 31.6 19.3 unknown
whitefish 800 33.7 36.4 39.6 29.7 16.6 female
whitefish 1000 37.3 40 43.5 28.4 15 unknown
roach 40 12.9 14.1 16.2 25.6 14 unknown
roach 69 16.5 18.2 20.3 26.1 13.9 unknown
roach 78 17.5 18.8 21.2 26.3 13.7 unknown
roach 87 18.2 19.8 22.2 25.3 14.3 unknown
roach 120 18.6 20 22.2 28 16.1 unknown
roach NA 19 20.5 22.8 28.4 14.7 unknown
roach 110 19.1 20.8 23.1 26.7 14.7 female
roach 120 19.4 21 23.7 25.8 13.9 female
roach 150 20.4 22 24.7 23.5 15.2 female
roach 145 20.5 22 24.3 27.3 14.6 female
roach 160 20.5 22.5 25.3 27.8 15.1 female
roach 140 21 22.5 25 26.2 13.3 unknown
roach 160 21.1 22.5 25 25.6 15.2 female
roach 169 22 24 27.2 27.7 14.1 unknown
roach 161 22 23.4 26.7 25.9 13.6 unknown
roach 200 22.1 23.5 26.8 27.6 15.4 female
roach 180 23.6 25.2 27.9 25.4 14 unknown
roach 290 24 26 29.2 30.4 15.4 unknown
roach 272 25 27 30.6 28 15.6 female
roach 390 29.5 31.7 35 27.1 15.3 unknown
parkki 55 13.5 14.7 16.5 41.5 14.1 unknown
parkki 60 14.3 15.5 17.4 37.8 13.3 male
parkki 90 16.3 17.7 19.8 37.4 13.5 male
parkki 120 17.5 19 21.3 39.4 13.7 male
parkki 150 18.4 20 22.4 39.7 14.7 unknown
parkki 140 19 20.7 23.2 36.8 14.2 unknown
parkki 170 19 20.7 23.2 40.5 14.7 female
parkki 145 19.8 21.5 24.1 40.4 13.1 female
parkki 200 21.2 23 25.8 40.1 14.2 unknown
parkki 273 23 25 28 39.6 14.8 female
parkki 300 24 26 29 39.2 14.6 female
smelt 6.7 9.3 9.8 10.8 16.1 9.7 male
smelt 7.5 10 10.5 11.6 17 10 female
smelt 7 10.1 10.6 11.6 14.9 9.9 male
smelt 9.7 10.4 11 12 18.3 11.5 female
smelt 9.8 10.7 11.2 12.4 16.8 10.3 male
smelt 8.7 10.8 11.3 12.6 15.7 10.2 male
smelt 10 11.3 11.8 13.1 16.9 9.8 male
smelt 9.9 11.3 11.8 13.1 16.9 8.9 female
smelt 9.8 11.4 12 13.2 16.7 8.7 female
smelt 12.2 11.5 12.2 13.4 15.6 10.4 female
smelt 13.4 11.7 12.4 13.5 18 9.4 female
