"species","weight","length1","length2","length3","heightpc","widthpc","sex","height","width"
"bream",242,23.2,25.4,30,38.4,13.4,"unknown",11.52,4.02
"bream",290,24,26.3,31.2,40,13.8,"unknown",12.48,4.3056
"bream",340,23.9,26.5,31.1,39.8,15.1,"unknown",12.3778,4.6961
"bream",363,26.3,29,33.5,38,13.3,"unknown",12.73,4.4555
"bream",430,26.5,29,34,36.6,15.1,"unknown",12.444,5.134
"bream",450,26.8,29.7,34.7,39.2,14.2,"unknown",13.6024,4.9274
"bream",500,26.8,29.7,34.5,41.1,15.3,"unknown",14.1795,5.2785
"bream",390,27.6,30,35,36.2,13.4,"unknown",12.67,4.69
"bream",450,27.6,30,35.1,39.9,13.8,"unknown",14.0049,4.8438
"bream",500,28.5,30.7,36.2,39.3,13.7,"unknown",14.2266,4.9594
"bream",475,28.4,31,36.2,39.4,14.1,"unknown",14.2628,5.1042
"bream",500,28.7,31,36.2,39.7,13.3,"unknown",14.3714,4.8146
"bream",500,29.1,31.5,36.4,37.8,12,"unknown",13.7592,4.368
"bream",NA,29.5,32,37.3,37.3,13.6,"male",13.9129,5.0728
"bream",600,29.4,32,37.2,40.2,13.9,"male",14.9544,5.1708
"bream",600,29.4,32,37.2,41.5,15,"unknown",15.438,5.58
"bream",700,30.4,33,38.3,38.8,13.8,"male",14.8604,5.2854
"bream",700,30.4,33,38.5,38.8,13.5,"unknown",14.938,5.1975
"bream",610,30.9,33.5,38.6,40.5,13.3,"unknown",15.633,5.1338
"bream",650,31,33.5,38.7,37.4,14.8,"unknown",14.4738,5.7276
"bream",575,31.3,34,39.5,38.3,14.1,"male",15.1285,5.5695
"bream",685,31.4,34,39.2,40.8,13.7,"unknown",15.9936,5.3704
"bream",620,31.5,34.5,39.7,39.1,13.3,"unknown",15.5227,5.2801
"bream",680,31.8,35,40.6,38.1,15.1,"unknown",15.4686,6.1306
"bream",700,31.9,35,40.5,40.1,13.8,"unknown",16.2405,5.589
"bream",725,31.8,35,40.9,40,14.8,"male",16.36,6.0532
"bream",720,32,35,40.6,40.3,15,"unknown",16.3618,6.09
"bream",714,32.7,36,41.5,39.8,14.1,"unknown",16.517,5.8515
"bream",850,32.8,36,41.6,40.6,14.9,"unknown",16.8896,6.1984
"bream",1000,33.5,37,42.6,44.5,15.5,"female",18.957,6.603
"bream",920,35,38.5,44.1,40.9,14.3,"female",18.0369,6.3063
"bream",955,35,38.5,44,41.1,14.3,"unknown",18.084,6.292
"bream",925,36.2,39.5,45.3,41.4,14.9,"male",18.7542,6.7497
"bream",975,37.4,41,45.9,40.6,14.7,"female",18.6354,6.7473
"bream",950,38,41,46.5,37.9,13.7,"unknown",17.6235,6.3705
"whitefish",270,23.6,26,28.7,29.2,14.8,"unknown",8.3804,4.2476
"whitefish",270,24.1,26.5,29.3,27.8,14.5,"unknown",8.1454,4.2485
"whitefish",306,25.6,28,30.8,28.5,15.2,"unknown",8.778,4.6816
"whitefish",540,28.5,31,34,31.6,19.3,"unknown",10.744,6.562
"whitefish",800,33.7,36.4,39.6,29.7,16.6,"female",11.7612,6.5736
"whitefish",1000,37.3,40,43.5,28.4,15,"unknown",12.354,6.525
"roach",40,12.9,14.1,16.2,25.6,14,"unknown",4.1472,2.268
"roach",69,16.5,18.2,20.3,26.1,13.9,"unknown",5.2983,2.8217
"roach",78,17.5,18.8,21.2,26.3,13.7,"unknown",5.5756,2.9044
"roach",87,18.2,19.8,22.2,25.3,14.3,"unknown",5.6166,3.1746
"roach",120,18.6,20,22.2,28,16.1,"unknown",6.216,3.5742
"roach",NA,19,20.5,22.8,28.4,14.7,"unknown",6.4752,3.3516
"roach",110,19.1,20.8,23.1,26.7,14.7,"female",6.1677,3.3957
"roach",120,19.4,21,23.7,25.8,13.9,"female",6.1146,3.2943
"roach",150,20.4,22,24.7,23.5,15.2,"female",5.8045,3.7544
"roach",145,20.5,22,24.3,27.3,14.6,"female",6.6339,3.5478
"roach",160,20.5,22.5,25.3,27.8,15.1,"female",7.0334,3.8203
"roach",140,21,22.5,25,26.2,13.3,"unknown",6.55,3.325
"roach",160,21.1,22.5,25,25.6,15.2,"female",6.4,3.8
"roach",169,22,24,27.2,27.7,14.1,"unknown",7.5344,3.8352
"roach",161,22,23.4,26.7,25.9,13.6,"unknown",6.9153,3.6312
"roach",200,22.1,23.5,26.8,27.6,15.4,"female",7.3968,4.1272
"roach",180,23.6,25.2,27.9,25.4,14,"unknown",7.0866,3.906
"roach",290,24,26,29.2,30.4,15.4,"unknown",8.8768,4.4968
"roach",272,25,27,30.6,28,15.6,"female",8.568,4.7736
"roach",390,29.5,31.7,35,27.1,15.3,"unknown",9.485,5.355
"parkki",55,13.5,14.7,16.5,41.5,14.1,"unknown",6.8475,2.3265
"parkki",60,14.3,15.5,17.4,37.8,13.3,"male",6.5772,2.3142
"parkki",90,16.3,17.7,19.8,37.4,13.5,"male",7.4052,2.673
"parkki",120,17.5,19,21.3,39.4,13.7,"male",8.3922,2.9181
"parkki",150,18.4,20,22.4,39.7,14.7,"unknown",8.8928,3.2928
"parkki",140,19,20.7,23.2,36.8,14.2,"unknown",8.5376,3.2944
"parkki",170,19,20.7,23.2,40.5,14.7,"female",9.396,3.4104
"parkki",145,19.8,21.5,24.1,40.4,13.1,"female",9.7364,3.1571
"parkki",200,21.2,23,25.8,40.1,14.2,"unknown",10.3458,3.6636
"parkki",273,23,25,28,39.6,14.8,"female",11.088,4.144
"parkki",300,24,26,29,39.2,14.6,"female",11.368,4.234
"smelt",6.7,9.3,9.8,10.8,16.1,9.7,"male",1.7388,1.0476
"smelt",7.5,10,10.5,11.6,17,10,"female",1.972,1.16
"smelt",7,10.1,10.6,11.6,14.9,9.9,"male",1.7284,1.1484
"smelt",9.7,10.4,11,12,18.3,11.5,"female",2.196,1.38
"smelt",9.8,10.7,11.2,12.4,16.8,10.3,"male",2.0832,1.2772
"smelt",8.7,10.8,11.3,12.6,15.7,10.2,"male",1.9782,1.2852
"smelt",10,11.3,11.8,13.1,16.9,9.8,"male",2.2139,1.2838
"smelt",9.9,11.3,11.8,13.1,16.9,8.9,"female",2.2139,1.1659
"smelt",9.8,11.4,12,13.2,16.7,8.7,"female",2.2044,1.1484
"smelt",12.2,11.5,12.2,13.4,15.6,10.4,"female",2.0904,1.3936
"smelt",13.4,11.7,12.4,13.5,18,9.4,"female",2.43,1.269
"smelt",12.2,12.1,13,13.8,16.5,9.1,"female",2.277,1.2558
"smelt",19.7,13.2,14.3,15.2,18.9,13.6,"female",2.8728,2.0672
"smelt",19.9,13.8,15,16.2,18.1,11.6,"female",2.9322,1.8792
"pike",200,30,32.3,34.8,16,9.7,"unknown",5.568,3.3756
"pike",300,31.7,34,37.8,15.1,11,"female",5.7078,4.158
"pike",300,32.7,35,38.8,15.3,11.3,"unknown",5.9364,4.3844
"pike",300,34.8,37.3,39.8,15.8,10.1,"unknown",6.2884,4.0198
"pike",430,35.5,38,40.5,18,11.3,"unknown",7.29,4.5765
"pike",345,36,38.5,41,15.6,9.7,"male",6.396,3.977
