 train         node      observed        predicted
     n             6               NA    0.282264E+004
     y             6    0.108700E+004    0.282264E+004
     y             6    0.100000E+004    0.282264E+004
     y             6    0.300000E+003    0.282264E+004
     y             2    0.100000E+002    0.980353E+003
     y           252    0.141304E+006    0.414540E+005
     y             6    0.550000E+002    0.282264E+004
     y             6    0.750000E+002    0.282264E+004
     y             6    0.250000E+002    0.282264E+004
     y             6    0.200000E+002    0.282264E+004
     y             6    0.180000E+005    0.282264E+004
     y             6    0.500000E+003    0.282264E+004
     y             6    0.100000E+001    0.282264E+004
     n             2               NA    0.980353E+003
     y             2    0.300000E+003    0.980353E+003
     y            30    0.100000E+003    0.264654E+004
     n             6               NA    0.282264E+004
     y             6    0.467000E+003    0.282264E+004
     y             6    0.160000E+003    0.282264E+004
     n             6               NA    0.282264E+004
     y            62    0.200000E+003    0.803633E+004
     n             6               NA    0.282264E+004
     n            30               NA    0.264654E+004
     y             6    0.160000E+003    0.282264E+004
     y           252    0.270000E+005    0.414540E+005
     n             6               NA    0.282264E+004
     y             6    0.200000E+002    0.282264E+004
     n             6               NA    0.282264E+004
     n            62               NA    0.803633E+004
     n             6               NA    0.282264E+004
     y            30    0.100000E+004    0.264654E+004
     n             6               NA    0.282264E+004
     y             6    0.100000E+001    0.282264E+004
     n             6               NA    0.282264E+004
     y             2    0.360000E+003    0.980353E+003
     y            62    0.200000E+003    0.803633E+004
     y             6    0.100000E+004    0.282264E+004
     n             6               NA    0.282264E+004
     y            30    0.300000E+003    0.264654E+004
     y             2    0.100000E+003    0.980353E+003
     n             6               NA    0.282264E+004
     n             6               NA    0.282264E+004
     y             6    0.488600E+004    0.282264E+004
     y             2    0.100000E+004    0.980353E+003
     y             6    0.399100E+004    0.282264E+004
     n             6               NA    0.282264E+004
     n             6               NA    0.282264E+004
     y             6    0.150000E+003    0.282264E+004
     n            30               NA    0.264654E+004
     y             6    0.100000E+001    0.282264E+004
     n           253               NA    0.503211E+004
     y             6    0.120000E+002    0.282264E+004
     y             2    0.141304E+006    0.980353E+003
     y           253    0.200000E+005    0.503211E+004
     y            28    0.100000E+001    0.276413E+005
     y             6    0.425000E+003    0.282264E+004
     y             2    0.500000E+002    0.980353E+003
     y             6    0.440000E+004    0.282264E+004
     n             6               NA    0.282264E+004
     y             6    0.500000E+003    0.282264E+004
     y            30    0.100000E+004    0.264654E+004
     y             2    0.200000E+001    0.980353E+003
     y            30    0.140000E+004    0.264654E+004
     y             6    0.100000E+001    0.282264E+004
     y             6    0.120000E+004    0.282264E+004
     y             6    0.350000E+003    0.282264E+004
     n             6               NA    0.282264E+004
     n             2               NA    0.980353E+003
     n             6               NA    0.282264E+004
     y             2    0.150000E+003    0.980353E+003
     y             6    0.800000E+002    0.282264E+004
     y           252    0.160000E+004    0.414540E+005
     y             6    0.300000E+005    0.282264E+004
     y            62    0.100000E+003    0.803633E+004
     n             6               NA    0.282264E+004
     y             6    0.700000E+001    0.282264E+004
     n             6               NA    0.282264E+004
     n             2               NA    0.980353E+003
     n             2               NA    0.980353E+003
     y             6    0.400000E+004    0.282264E+004
     n             6               NA    0.282264E+004
     y             6    0.150000E+003    0.282264E+004
     n             6               NA    0.282264E+004
     y             2    0.450000E+003    0.980353E+003
     n             6               NA    0.282264E+004
     n             6               NA    0.282264E+004
     n            30               NA    0.264654E+004
     y             6    0.100000E+001    0.282264E+004
     y            30    0.150000E+004    0.264654E+004
     y             6    0.700000E+003    0.282264E+004
     y             6    0.200000E+003    0.282264E+004
     y             2    0.150000E+003    0.980353E+003
     n             6               NA    0.282264E+004
     y             6    0.500000E+001    0.282264E+004
     y            62    0.350000E+004    0.803633E+004
     y             2    0.200000E+001    0.980353E+003
     y             6    0.746000E+003    0.282264E+004
     y             6    0.500000E+001    0.282264E+004
     n             6               NA    0.282264E+004
     y            30    0.200000E+002    0.264654E+004
     y             6    0.900000E+002    0.282264E+004
     n             6               NA    0.282264E+004
     n           252               NA    0.414540E+005
     y             6    0.120000E+003    0.282264E+004
     y             2    0.100000E+003    0.980353E+003
     y             2    0.150000E+002    0.980353E+003
     y             6    0.750000E+003    0.282264E+004
     y             6    0.450000E+004    0.282264E+004
     y             2    0.360000E+003    0.980353E+003
     n             6               NA    0.282264E+004
     n             2               NA    0.980353E+003
     n             2               NA    0.980353E+003
     n             6               NA    0.282264E+004
     n             6               NA    0.282264E+004
     n           253               NA    0.503211E+004
     y             6    0.114900E+005    0.282264E+004
     y             2    0.500000E+001    0.980353E+003
     y             2    0.480000E+002    0.980353E+003
     y             6    0.500000E+001    0.282264E+004
     y             6    0.106000E+004    0.282264E+004
     n             6               NA    0.282264E+004
     y             2    0.240000E+002    0.980353E+003
     y            30    0.111570E+005    0.264654E+004
     y             6    0.350000E+005    0.282264E+004
     n             2               NA    0.980353E+003
     y             6    0.770000E+004    0.282264E+004
     n             2               NA    0.980353E+003
     n             6               NA    0.282264E+004
     y             6    0.100000E+004    0.282264E+004
     y             2    0.222800E+004    0.980353E+003
     y            30    0.800000E+004    0.264654E+004
     y             6    0.200000E+004    0.282264E+004
     n             2               NA    0.980353E+003
     y             6    0.350000E+002    0.282264E+004
     y             6    0.250000E+004    0.282264E+004
     n             6               NA    0.282264E+004
     y             6    0.869600E+004    0.282264E+004
     y             6    0.100000E+001    0.282264E+004
     y             6    0.250000E+002    0.282264E+004
     n             6               NA    0.282264E+004
     n            62               NA    0.803633E+004
     n             2               NA    0.980353E+003
     y             6    0.131900E+004    0.282264E+004
     n             6               NA    0.282264E+004
     n             6               NA    0.282264E+004
     y            30    0.250000E+003    0.264654E+004
     n             2               NA    0.980353E+003
     y             6    0.600000E+004    0.282264E+004
     n           253               NA    0.503211E+004
     y             6    0.140000E+002    0.282264E+004
     y             2    0.200000E+003    0.980353E+003
     y             2    0.100000E+002    0.980353E+003
     y             6    0.240000E+002    0.282264E+004
     y             6    0.200000E+005    0.282264E+004
     y             6    0.371700E+004    0.282264E+004
     y            30    0.120000E+004    0.264654E+004
