    Rank Group    Score       Missing     Variable
       1  A     1.296E+01           0     Forearmgirth
       2  A     1.250E+01           0     Elbowdiam
       3  A     1.222E+01           0     Biacromialdiam
       4  A     1.206E+01           0     Shouldergirth
       5  A     1.147E+01           0     Wristmingirth
       6  A     1.098E+01           0     Chestgirth
       7  A     1.084E+01           0     Bicepgirth
       8  A     1.023E+01           0     Wristdiam
       9  A     9.402E+00           0     Waistgirth
      10  A     9.124E+00           0     Anklediam
      11  A     8.901E+00           0     Height
      12  A     8.705E+00           0     Chestdiam
      13  A     8.054E+00           0     Weight
      14  A     7.007E+00           0     Chestdepth
      15  A     5.450E+00           0     Kneediam
      16  A     4.528E+00           0     Anklemingirth
      17  A     2.926E+00           0     Calfmaxgirth
      18  A     2.873E+00           0     Kneegirth
      19  A     2.088E+00           0     Hipgirth
      20  A     1.888E+00           0     Thighgirth
      21  A     1.583E+00           0     Bitrochantericdiam
      22  A     1.320E+00           0     Navelgirth
      23  D     6.805E-01           0     Biiliacdiam
      24  F     3.726E-01           0     Age
