    Rank Group    Score       Missing     Variable
       1  A     5.375E+00           0     REFGEN
       2  A     4.804E+00           0     CUTENURE
       3  A     4.624E+00        2261     STOCKX
       4  A     4.454E+00           0     AGE_REF
       5  A     4.425E+00           0     FSALARYX
       6  A     4.169E+00        2278     STOCKYRX
       7  A     4.094E+00        1584     INCNONW1
       8  A     4.089E+00           0     PERSOT64
       9  A     3.956E+00         188     STATE
      10  A     3.909E+00        1959     INCNONW2
      11  A     3.894E+00        1092     INCWEEK2
      12  A     3.890E+00           0     EARNCOMP
      13  A     3.764E+00           0     FJSSDEDX
      14  A     3.681E+00         548     RENTEQVX
      15  A     3.438E+00           0     FINCBTAX
      16  A     3.372E+00           0     INC_RANK
      17  A     3.347E+00           0     NO_EARNR
      18  A     3.251E+00        1092     AGE2
      19  A     3.248E+00         903     INC_HRS1
      20  A     3.114E+00        1274     PSU
      21  A     3.012E+00           0     RETPENPQ
      22  A     2.980E+00          57     INCLASS2
      23  A     2.940E+00           0     INCWEEK1
      24  A     2.750E+00         903     INCOMEY1
      25  A     2.709E+00        2122     IRAYRX
      26  A     2.642E+00         903     OCCUCOD1
      27  A     2.593E+00           0     HLTHINPQ
      28  A     2.552E+00           0     EDUC_REF
      29  A     2.420E+00           0     PERINSPQ
      30  A     2.415E+00           0     EMRTPNOP
      31  A     2.383E+00           0     FRRETIRX
      32  A     2.371E+00        2099     IRAX
      33  A     2.363E+00           0     FRRETIRM
      34  A     2.356E+00           0     LUMP_UMX
      35  A     2.326E+00           0     REF_RACE
      36  A     2.321E+00           0     MRTINTPQ
      37  A     2.305E+00           0     HEALTHPQ
      38  A     2.294E+00           0     PROPTXPQ
      39  A     2.163E+00           0     DMSXCCPQ
      40  A     2.115E+00           0     FFTAXOWE
      41  A     1.902E+00           0     PERSLT18
      42  A     1.874E+00           0     DOMSRVPQ
      43  A     1.824E+00           0     LUMP_UMB
      44  A     1.824E+00           0     LMPS_MBX
      45  A     1.715E+00        1092     SEX2
      46  A     1.701E+00           0     RNTAPYCQ
      47  A     1.663E+00        2477     OTHSYRBX
      48  A     1.637E+00           0     HOUSOPPQ
      49  A     1.631E+00           0     TOTXEST
      50  A     1.594E+00        2477     OTHSTYRB
      51  A     1.553E+00           0     OTHVEHCQ
      52  A     1.552E+00        1092     EDUCA2
      53  A     1.545E+00           0     ERANKHM
      54  A     1.539E+00           0     HLTHINCQ
      55  A     1.526E+00          57     ERANKH
      56  A     1.525E+00        1865     RETSURVX
      57  A     1.520E+00        2477     OTHASTBX
      58  A     1.515E+00           4     ROOMSQ
      59  A     1.499E+00           0     READCQ
      60  A     1.499E+00           0     MARITAL1
      61  A     1.486E+00           0     OTHSTYR_
      62  A     1.485E+00           4     HLFBATHQ
      63  A     1.476E+00           0     FAM_SIZE
      64  A     1.476E+00           0     UTILPQ
      65  A     1.465E+00        2477     OTHASTB
      66  A     1.457E+00           0     OTHL_NBX
      67  A     1.457E+00           0     OTHLONB_
      68  A     1.432E+00           0     HOUSPQ
      69  A     1.431E+00           0     HIGH_EDU
      70  A     1.428E+00           0     OTHR_NCB
      71  A     1.422E+00           0     CHILDAGE
      72  A     1.367E+00           0     ECARTKUP
      73  A     1.349E+00           0     VFUELOIP
      74  A     1.345E+00           4     BEDROOMQ
