    node   variable              mean              crimcoefs1
       1   Biacromialdiam        38.811440       -0.23118757E-02
       1   Bitrochantericdiam    31.980473        0.78797271E-03
       1   Chestdepth            19.226036       -0.10177809E-02
       1   Chestdiam             27.973767        0.54261910E-03
       1   Elbowdiam             13.385207       -0.37748827E-02
       1   Wristdiam             10.542604        0.49622373E-03
       1   Kneediam              18.810651       -0.12285427E-02
       1   Anklediam             13.863314       -0.40174727E-02
       1   Shouldergirth         108.19507       -0.58468755E-03
       1   Chestgirth            93.333531        0.36060805E-03
       1   Waistgirth            76.979487       -0.29298639E-02
       1   Navelgirth            85.653846        0.12561773E-02
       1   Hipgirth              96.680868        0.14250649E-02
       1   Bicepgirth            31.169625       -0.16404960E-02
       1   Forearmgirth          25.942998       -0.47009101E-02
       1   Kneegirth             36.202959        0.91518335E-03
       1   Calfmaxgirth          36.078304        0.76905993E-03
       1   Anklemingirth         22.157396       -0.39121515E-03
       1   Wristmingirth         16.097436        0.28272795E-03
       1   Age                   30.181460        0.24389430E-04
       1   Weight                69.147535        0.14404389E-02
       1   Height                171.14379       -0.10742746E-02
       2   Elbowdiam             14.413725        0.21954897E-01
       2   Wristdiam             11.223137        0.14900607E-01
       2   Anklediam             14.689804        0.27476370E-01
       2   Hipgirth              97.969412       -0.55823191E-02
       2   Thighgirth            56.656863       -0.38955616E-02
       2   Height                177.40510        0.26944025E-02
       4   Anklediam             13.457143        0.15324284    
       4   Chestgirth            101.68571        0.25721830E-01
       9   Kneediam              20.271429        0.11420217    
       9   Weight                91.128571        0.28716125E-01
