 train         node   crimcoord1     crimcoord2   observed  predicted
     y            5    0.0000E+0000    0.0000E+0000  "M"  "M"
     y            5    0.0000E+0000    0.0000E+0000  "M"  "M"
     y            5    0.0000E+0000    0.0000E+0000  "M"  "M"
     y            5    0.0000E+0000    0.0000E+0000  "M"  "M"
     y            5    0.0000E+0000    0.0000E+0000  "M"  "M"
     y            5    0.0000E+0000    0.0000E+0000  "M"  "M"
     y            5    0.0000E+0000    0.0000E+0000  "M"  "M"
     y            5    0.0000E+0000    0.0000E+0000  "M"  "M"
     y            5    0.0000E+0000    0.0000E+0000  "M"  "M"
     y            5    0.0000E+0000    0.0000E+0000  "M"  "M"
     y            5    0.0000E+0000    0.0000E+0000  "M"  "M"
     y            5    0.0000E+0000    0.0000E+0000  "M"  "M"
     y            5    0.0000E+0000    0.0000E+0000  "M"  "M"
     y            5    0.0000E+0000    0.0000E+0000  "M"  "M"
     y            5    0.0000E+0000    0.0000E+0000  "M"  "M"
     y            5    0.0000E+0000    0.0000E+0000  "M"  "M"
     y            5    0.0000E+0000    0.0000E+0000  "M"  "M"
     y            5    0.0000E+0000    0.0000E+0000  "M"  "M"
     y            5    0.0000E+0000    0.0000E+0000  "M"  "M"
     y            5    0.0000E+0000    0.0000E+0000  "M"  "M"
     y            5    0.0000E+0000    0.0000E+0000  "M"  "M"
     y            5    0.0000E+0000    0.0000E+0000  "M"  "M"
     y            5    0.0000E+0000    0.0000E+0000  "M"  "M"
     y            5    0.0000E+0000    0.0000E+0000  "M"  "M"
     y            5    0.0000E+0000    0.0000E+0000  "M"  "M"
     y            5    0.0000E+0000    0.0000E+0000  "M"  "M"
     y            5    0.0000E+0000    0.0000E+0000  "M"  "M"
     y            5    0.0000E+0000    0.0000E+0000  "M"  "M"
     y            5    0.0000E+0000    0.0000E+0000  "M"  "M"
     y            5    0.0000E+0000    0.2128E-0313  "M"  "M"
     y            5    0.0000E+0000    0.0000E+0000  "M"  "M"
     y            5    0.0000E+0000    0.2128E-0313  "M"  "M"
     y            5    0.0000E+0000    0.0000E+0000  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
     y            5    0.0000E+0000    0.2000E+0001  "M"  "M"
