    Rank Group    Score       Missing     Variable
       1  A     2.586E+00           0     X17p_status
       2  A     1.972E+00           0     X8p_status
       3  A     1.790E+00          15     IGHV_MUTATION_STATUS
       4  A     1.759E+00           0     CLL_EPITYPE
       5  A     1.672E+00           0     M.CLL_WES
       6  A     1.672E+00           0     U.CLL_WES
       7  A     1.664E+00           0     AGE_SAMPLING
       8  A     1.129E+00           0     COHORT
       9  B     1.106E+00         291     TREATMENT_STATUS_AT_SAMPLING
      10  B     1.085E+00           0     EXPRESSION_CLUSTER
      11  B     1.036E+00           0     TREATMENT_STATUS
      12  C     9.638E-01           0     CANCER_TYPE_DETAILED
      13  C     9.379E-01           0     RRBS
      14  C     9.258E-01         291     FIRST_TREATMENT_AFTER_SAMPLING
      15  C     9.170E-01           0     EC_EXTENSION
      16  C     8.742E-01           0     PRIOR_TREATMENT_CATEGORY
      17  C     8.429E-01          83     TMB_NONSYNONYMOUS
      18  D     8.165E-01          18     IGHV_IDENTITY_PERCENTAGE
      19  D     7.555E-01          50     AGE
      20  D     6.304E-01         612     TREATMENT_AFTER_SAMPLING
      21  E     6.134E-01           0     RAI_AT_DIAGNOSIS
      22  E     6.049E-01           0     X17q_status
      23  E     5.203E-01           0     X4p_status
      24  E     5.055E-01         144     TUMOR_MOLECULAR_SUBTYPE
      25  F     4.715E-01           0     ARRAY450K
      26  F     4.247E-01           0     X11q_status
      27  F     4.060E-01           0     X20p_status
      28  F     3.676E-01           0     SEQUENCING_PLATFORM
      29  F     3.675E-01         291     RAI_AT_SAMPLING
      30  F     3.481E-01           0     X8q_status
      31  F     3.445E-01          26     IGLV3_21_R110
      32  F     3.437E-01           0     tri12_status
      33  F     3.437E-01          83     NORMAL_MEAN_COVERAGE
      34  F     2.720E-01           0     X19q_status
      35  F     2.586E-01           0     SEX
      36  F     2.405E-01           0     X6q_status
      37  F     2.295E-01          83     TUMOR_SAMPLE_PLOIDY
      38  F     1.641E-01           0     X18p_status
      39  F     1.385E-01          83     TUMOR_MEAN_COVERAGE
      40  F     1.330E-01           0     X2p_status
      41  F     1.322E-01           0     RNA_SEQUENCING
      42  F     9.272E-02         197     U1_STATUS
      43  F     7.457E-02           0     EC_DISCOVERY
      44  F     7.420E-02          83     TUMOR_SAMPLE_PURITY
