    Rank Group    Score       Missing     Variable
       1  A     3.500E+00         291     TREATMENT_STATUS_AT_SAMPLING
       2  A     2.996E+00           0     TREATMENT_STATUS
       3  A     2.631E+00           0     PRIOR_TREATMENT_CATEGORY
       4  A     2.235E+00          15     IGHV_MUTATION_STATUS
       5  A     2.089E+00           0     AGE_SAMPLING
       6  A     2.012E+00           0     M.CLL_WES
       7  A     1.874E+00           0     EC_EXTENSION
       8  A     1.656E+00           0     U.CLL_WES
       9  A     1.595E+00           0     X17p_status
      10  A     1.323E+00         612     TREATMENT_AFTER_SAMPLING
      11  B     1.285E+00         291     FIRST_TREATMENT_AFTER_SAMPLING
      12  B     1.242E+00           0     EXPRESSION_CLUSTER
      13  B     1.198E+00           0     CLL_EPITYPE
      14  B     1.030E+00          18     IGHV_IDENTITY_PERCENTAGE
      15  B     1.022E+00           0     COHORT
      16  C     9.775E-01          50     AGE
      17  C     9.357E-01           0     X8p_status
      18  D     8.311E-01           0     CANCER_TYPE_DETAILED
      19  F     6.320E-01          83     NORMAL_MEAN_COVERAGE
      20  F     6.116E-01           0     ARRAY450K
      21  F     5.742E-01         291     RAI_AT_SAMPLING
      22  F     5.264E-01           0     RAI_AT_DIAGNOSIS
      23  F     4.610E-01           0     X11q_status
      24  F     4.573E-01           0     X2p_status
      25  F     4.392E-01          83     TMB_NONSYNONYMOUS
      26  F     4.252E-01           0     SEQUENCING_PLATFORM
      27  F     4.173E-01           0     X20p_status
      28  F     4.023E-01           0     EC_DISCOVERY
      29  F     3.699E-01           0     tri12_status
      30  F     3.454E-01          83     TUMOR_SAMPLE_PLOIDY
      31  F     3.340E-01           0     RRBS
      32  F     3.334E-01           0     X19q_status
      33  F     3.043E-01          83     TUMOR_MEAN_COVERAGE
      34  F     2.922E-01           0     X8q_status
      35  F     2.103E-01          83     TUMOR_SAMPLE_PURITY
      36  F     2.093E-01           0     X6q_status
      37  F     2.089E-01           0     SEX
      38  F     2.032E-01         144     TUMOR_MOLECULAR_SUBTYPE
      39  F     1.971E-01           0     X17q_status
      40  F     1.520E-01          26     IGLV3_21_R110
      41  F     1.426E-01           0     X4p_status
      42  F     1.333E-01           0     X18p_status
      43  F     1.211E-01           0     RNA_SEQUENCING
      44  F     1.122E-01         197     U1_STATUS
