    Rank Group    Score       Missing     Variable
       1  A     2.642E+00          15     IGHV_MUTATION_STATUS
       2  A     2.565E+00           5     CLL_EPITYPE
       3  A     2.483E+00           0     M_CLL_WES
       4  A     2.256E+00           0     U_CLL_WES
       5  A     2.253E+00          50     AGE
       6  A     2.079E+00         606     TREATMENT_AFTER_SAMPLING
       7  A     1.897E+00           0     EXPRESSION_CLUSTER
       8  A     1.443E+00          88     TMB_NONSYNONYMOUS
       9  A     1.276E+00           0     PRIOR_TREATMENT_CATEGORY
      10  B     1.127E+00           0     TREATMENT_STATUS
      11  B     1.107E+00           0     CANCER_TYPE_DETAILED
      12  C     8.928E-01           0     EC_EXTENSION
      13  D     7.323E-01          18     IGHV_IDENTITY_PERCENTAGE
      14  E     6.197E-01         144     TUMOR_MOLECULAR_SUBTYPE
      15  F     3.521E-01           0     EC_DISCOVERY
      16  F     3.376E-01          88     NORMAL_MEAN_COVERAGE
      17  F     2.746E-01          27     IGLV3_21_R110
      18  F     2.571E-01          88     TUMOR_SAMPLE_PLOIDY
      19  F     2.303E-01         197     U1_STATUS
      20  F     2.281E-01           0     SEX
      21  F     8.415E-02          88     TUMOR_MEAN_COVERAGE
      22  F     8.374E-02          88     TUMOR_SAMPLE_PURITY
