    Rank Group    Score       Missing     Variable
       1  A     1.064E+01           0     X8p_status
       2  A     9.361E+00        1017     FIRST_TREATMENT_AFTER_SAMPLING
       3  A     8.460E+00        2160     TREATMENT_AFTER_SAMPLING
       4  A     8.253E+00           0     X17p_status
       5  A     7.838E+00           0     EC_EXTENSION
       6  A     7.069E+00          44     IGHV_MUTATION_STATUS
       7  A     7.030E+00           0     EXPRESSION_CLUSTER
       8  A     6.972E+00           0     U.CLL_WES
       9  A     6.667E+00           0     M.CLL_WES
      10  A     6.464E+00           0     CLL_EPITYPE
      11  A     5.540E+00           0     TREATMENT_STATUS
      12  A     5.471E+00           0     AGE_SAMPLING
      13  A     5.278E+00           0     PRIOR_TREATMENT_CATEGORY
      14  A     5.163E+00           0     COHORT
      15  A     4.913E+00        1017     TREATMENT_STATUS_AT_SAMPLING
      16  A     4.645E+00          55     IGHV_IDENTITY_PERCENTAGE
      17  A     4.487E+00          88     HSPA12B
      18  A     4.365E+00          88     PCDHGA7
      19  A     4.313E+00          88     KCNAB1
      20  A     4.301E+00          88     ARSE
      21  A     4.219E+00          88     SYNPR
      22  A     4.212E+00          88     ATG9A
      23  A     4.199E+00          88     FAM76B
      24  A     4.191E+00          88     TCEAL2
      25  A     4.191E+00          88     WBP1
      26  A     4.183E+00          88     TMPRSS3
      27  A     4.169E+00          88     HIPK4
      28  A     4.076E+00          88     ETV2
      29  A     4.053E+00          88     ZFYVE28
      30  A     4.013E+00          88     UGT8
      31  A     4.008E+00          88     ZNF546
      32  A     4.008E+00          88     LRWD1
      33  A     3.993E+00          88     SERPINA10
      34  A     3.993E+00          88     GALNT4
      35  A     3.990E+00          88     SLC7A4
      36  A     3.979E+00          88     CHAC1
      37  A     3.976E+00          88     OR7G2
      38  A     3.974E+00          88     SHMT2
      39  A     3.950E+00          88     RELL1
      40  A     3.916E+00          88     TAS2R5
      41  A     3.910E+00          88     ABCG1
      42  A     3.908E+00          88     AKAP17A
      43  A     3.881E+00          88     TIAL1
      44  A     3.865E+00          88     SIMC1
      45  A     3.858E+00          88     OTOP1
      46  A     3.857E+00          88     TMEM8B
      47  A     3.849E+00          88     WDR37
      48  A     3.839E+00          88     MORC2
      49  A     3.837E+00          88     KRTAP13.1
      50  A     3.828E+00          88     PRELP
      51  A     3.821E+00          88     IL1RAP
      52  A     3.814E+00          88     CXCR6
      53  A     3.802E+00          88     COX18
      54  A     3.796E+00          88     POU1F1
      55  A     3.794E+00          88     PSAT1
      56  A     3.787E+00          88     TMPRSS12
      57  A     3.757E+00          88     TM7SF2
      58  A     3.757E+00          88     ABHD17B
      59  A     3.750E+00          88     NRSN1
      60  A     3.747E+00          88     SLC36A3
      61  A     3.741E+00          88     GAS2L3
      62  A     3.741E+00          88     XG
      63  A     3.741E+00          88     C7orf43
      64  A     3.741E+00          88     DNAJA1
      65  A     3.741E+00          88     ZNF585B
      66  A     3.741E+00          88     SEMA4C
      67  A     3.741E+00          88     UGGT2
      68  A     3.741E+00          88     CLHC1
      69  A     3.741E+00          88     POLR2E
      70  A     3.738E+00          88     PIK3R6
      71  A     3.726E+00          88     CTTN
      72  A     3.718E+00          88     XXYLT1
      73  A     3.708E+00          88     KLHL35
      74  A     3.707E+00          88     SPATA5
      75  A     3.699E+00          88     AMT
      76  A     3.699E+00          88     RELL2
      77  A     3.689E+00          88     C19orf59
      78  A     3.689E+00          88     MCOLN1
      79  A     3.689E+00          88     RRBP1
      80  A     3.689E+00          88     EBF3
      81  A     3.689E+00          88     HCCS
      82  A     3.689E+00          88     ZNF385A
      83  A     3.689E+00          88     SLC3A2
      84  A     3.689E+00          88     MGME1
      85  A     3.689E+00          88     COX7B2
      86  A     3.689E+00          88     CLEC5A
      87  A     3.689E+00          88     DQX1
      88  A     3.689E+00          88     PIRT
      89  A     3.689E+00          88     HERC6
      90  A     3.689E+00          88     C17orf66
      91  A     3.689E+00          88     ZNF586
      92  A     3.689E+00          88     BID
      93  A     3.689E+00          88     MIR3186
      94  A     3.689E+00          88     UBE2N
      95  A     3.689E+00          88     D2HGDH
      96  A     3.689E+00          88     FBXL3
      97  A     3.689E+00          88     SYP
      98  A     3.689E+00          88     RPL6
      99  A     3.689E+00          88     OR11H4
     100  A     3.689E+00          88     TMEM115
     101  A     3.686E+00          88     LYPLAL1
     102  A     3.683E+00          88     SUMF1
     103  A     3.683E+00          88     ZNF649
     104  A     3.683E+00          88     GLA
     105  A     3.683E+00          88     HTR2B
     106  A     3.683E+00          88     NUDT19
     107  A     3.683E+00          88     ZNF510
     108  A     3.683E+00          88     IGBP1
     109  A     3.679E+00           0     RRBS
     110  A     3.678E+00          88     ARHGEF35
     111  A     3.678E+00          88     SYTL2
     112  A     3.675E+00          88     KRTAP9.3
     113  A     3.675E+00          88     AKR1CL1
     114  A     3.675E+00          88     C9orf85
     115  A     3.673E+00          88     VILL
     116  A     3.673E+00          88     TEKT3
     117  A     3.672E+00          88     IGFBP2
     118  A     3.670E+00          88     SPSB1
     119  A     3.669E+00          88     SH2D1A
     120  A     3.669E+00          88     CCDC96
     121  A     3.665E+00          88     DSPP
     122  A     3.664E+00          88     ZNF10
     123  A     3.656E+00          88     NPPB
     124  A     3.656E+00          88     NABP2
     125  A     3.655E+00          88     SIGLEC9
     126  A     3.648E+00          88     PHEX
     127  A     3.647E+00          88     PRAME
     128  A     3.646E+00          88     SPDL1
     129  A     3.646E+00          88     SLC25A42
     130  A     3.643E+00          88     EZH1
     131  A     3.643E+00          88     CCR1
     132  A     3.641E+00          88     PIGG
     133  A     3.641E+00          88     MPP4
     134  A     3.641E+00          88     MAPK12
     135  A     3.641E+00          88     HHLA2
