    Rank Group    Score       Missing     Variable
       1  A     2.942E+01           0     FFS_MONTHS
       2  A     1.008E+01          44     IGHV_MUTATION_STATUS
       3  A     9.958E+00           0     M_CLL_WES
       4  A     9.583E+00           0     EXPRESSION_CLUSTER
       5  A     9.414E+00           5     CLL_EPITYPE
       6  A     9.236E+00           0     AGE_SAMPLING
       7  A     9.015E+00           0     U_CLL_WES
       8  A     8.078E+00          88     TMB_NONSYNONYMOUS
       9  A     7.571E+00          55     IGHV_IDENTITY_PERCENTAGE
      10  A     7.505E+00        2134     TREATMENT_AFTER_SAMPLING
      11  A     6.172E+00           0     COHORT
      12  A     6.079E+00         209     AGE
      13  A     5.323E+00          88     HIPK4
      14  A     5.237E+00           4     SEQUENCING_PLATFORM
      15  A     4.046E+00          88     UGT1A4
      16  A     4.035E+00          88     RHOT1
      17  A     4.020E+00          88     LIMS2
      18  A     3.949E+00          88     CADM4
      19  A     3.931E+00          88     EHBP1
      20  A     3.919E+00          88     TCP11L2
      21  A     3.919E+00          88     KIAA1598
      22  A     3.862E+00          88     TMEM8B
      23  A     3.851E+00          88     MAGEB4
      24  A     3.838E+00          88     CTSC
      25  A     3.833E+00          88     ADAM10
      26  A     3.828E+00          88     CNTN1
      27  A     3.822E+00          88     ZNF543
      28  A     3.820E+00          88     IRAK1
      29  A     3.815E+00          88     USP9Y
      30  A     3.809E+00          88     ZFPL1
      31  A     3.794E+00          88     TMEM215
      32  A     3.792E+00          88     UBN2
      33  A     3.790E+00          88     DOT1L
      34  A     3.778E+00          88     GMPS
      35  A     3.767E+00          88     PON2
      36  A     3.765E+00          88     RPL10
      37  A     3.753E+00          88     WIF1
      38  A     3.746E+00          88     RNASE8
      39  A     3.744E+00          88     MIA
      40  A     3.738E+00          88     KCTD16
      41  A     3.738E+00          88     TCERG1
      42  A     3.732E+00          88     ATP6AP1
      43  A     3.727E+00          88     JMJD7.PLA2G4B
      44  A     3.726E+00          88     ZNF569
      45  A     3.713E+00          88     DDB1
      46  A     3.712E+00          88     PSMC4
      47  A     3.710E+00          88     IGLON5
      48  A     3.706E+00          88     KCNIP1
      49  A     3.700E+00          88     ZNF445
      50  A     3.700E+00          88     ZKSCAN5
      51  A     3.692E+00          88     TAS2R38
