    Rank Group    Score       Missing     Variable
       1  A     1.882E+00         508     AGE
       2  F     1.177E-01           9     AGE_SAMPLING
       3  F     1.141E-01          69     IGHV_IDENTITY_PERCENTAGE
       4  F     9.867E-02          58     IGHV_MUTATION_STATUS
       5  F     9.573E-02         170     PGM5
       6  F     8.944E-02         170     BANK1
       7  F     8.691E-02         170     TUMOR_MEAN_COVERAGE
       8  F     8.676E-02         170     MX1
       9  F     8.454E-02         170     ZNF273
      10  F     8.333E-02         170     AKAP17A
      11  F     8.294E-02         170     MAFB
      12  F     8.283E-02         170     NEUROD1
      13  F     8.279E-02         170     SEC14L4
      14  F     8.206E-02         170     GMPR2
      15  F     8.120E-02         170     LGR5
      16  F     8.069E-02         170     KIF27
      17  F     8.054E-02         170     PROC
      18  F     8.051E-02         170     SLC16A7
      19  F     7.942E-02         170     LPCAT4
      20  F     7.846E-02         170     TMPRSS11A
      21  F     7.769E-02         170     ZNF565
      22  F     7.685E-02         170     TGM2
      23  F     7.674E-02         170     ABCF3
      24  F     7.587E-02         170     CUL2
      25  F     7.563E-02         170     DBF4
      26  F     7.476E-02         170     OR7G2
      27  F     7.468E-02         170     ESRRG
      28  F     7.467E-02         170     ZNF543
      29  F     7.439E-02         170     MZT2A
      30  F     7.423E-02         170     NCF2
      31  F     7.423E-02         170     ACAD11
      32  F     7.420E-02         170     KIAA1614
      33  F     7.397E-02         170     OTX1
      34  F     7.394E-02         170     FMNL3
      35  F     7.355E-02         170     KIF9
      36  F     7.355E-02         170     DDX55
      37  F     7.346E-02         170     CD8A
      38  F     7.341E-02         170     SLC2A7
      39  F     7.334E-02         170     PON2
      40  F     7.319E-02         170     ZNF142
      41  F     7.302E-02         170     XRN2
      42  F     7.294E-02         170     ADRBK2
      43  F     7.293E-02         170     ASNS
      44  F     7.289E-02         170     BPI
      45  F     7.237E-02         170     SPESP1
      46  F     7.218E-02         170     CACNB2
      47  F     7.188E-02         170     PVRL1
      48  F     7.168E-02         170     CCT6B
      49  F     7.163E-02         170     PCDH19
      50  F     7.151E-02         170     UGT1A4
      51  F     7.150E-02         170     PDE11A
      52  F     7.106E-02         170     RNASEH2C
      53  F     7.106E-02         170     ZNF628
      54  F     7.097E-02         170     MAMDC2
      55  F     7.046E-02         170     PRAME
      56  F     7.032E-02         170     RPSA
      57  F     7.007E-02         170     CBX1
      58  F     7.003E-02         170     TCTN2
      59  F     6.994E-02         170     MARK3
      60  F     6.983E-02         170     NDST1
      61  F     6.971E-02         170     FOXO4
      62  F     6.966E-02         170     PHF8
      63  F     6.965E-02         170     NAP1L2
      64  F     6.953E-02         170     IPO5
      65  F     6.939E-02         170     IDNK
      66  F     6.934E-02         170     KLF8
      67  F     6.932E-02         170     SIGLEC8
