    Rank Group    Score       Missing     Variable
       1  F     7.910E-01         170     ADRBK2
       2  F     6.355E-01         170     PARP2
       3  F     6.271E-01         170     PARP1
       4  F     5.942E-01         170     YEATS4
       5  F     5.292E-01         170     ANKS1B
       6  F     5.036E-01         170     CD33
       7  F     4.710E-01         170     CCDC13
       8  F     4.657E-01         170     FRMPD4
       9  F     4.587E-01         170     EFNA2
      10  F     4.495E-01         170     GALNT6
      11  F     4.455E-01         170     MX2
      12  F     4.311E-01         170     TIMM50
      13  F     4.290E-01         170     ZNF383
      14  F     4.201E-01         170     DNMT3B
      15  F     4.187E-01         170     OSBP2
      16  F     4.184E-01         170     OR4M2
      17  F     3.809E-01         170     MMP14
      18  F     3.799E-01         170     PTPN12
      19  F     3.711E-01         170     TBC1D2
      20  F     3.495E-01         170     TMEM63A
      21  F     3.470E-01         170     NPNT
      22  F     3.348E-01         170     WDR46
      23  F     3.211E-01         170     VSIG1
      24  F     3.047E-01         170     SMPD4P2
      25  F     2.780E-01         170     NLRP9
      26  F     2.721E-01         170     ANKRD26
      27  F     2.679E-01         170     WDR19
      28  F     2.584E-01         170     CRYGS
      29  F     2.535E-01         170     HGFAC
      30  F     2.486E-01         170     DISP2
      31  F     2.476E-01         170     KIAA1257
      32  F     2.400E-01         170     ZIC4
      33  F     2.368E-01         170     RAP1GDS1
      34  F     2.353E-01         170     GYG1
      35  F     2.353E-01         170     GSS
      36  F     2.304E-01         170     NYAP1
      37  F     2.277E-01         170     VHL
      38  F     2.254E-01         170     CASC10
      39  F     2.242E-01         170     C2orf57
      40  F     2.241E-01         170     KIF21B
      41  F     2.234E-01         170     OR4L1
      42  F     2.212E-01         170     RAB3IP
      43  F     2.167E-01         170     GAS2L3
      44  F     2.156E-01         170     CXCR4
      45  F     2.126E-01         170     MRPS24
      46  F     2.118E-01         170     C17orf66
      47  F     2.108E-01         170     CREBRF
      48  F     2.085E-01         170     PLCD1
      49  F     2.076E-01         170     NHEJ1
      50  F     2.068E-01         170     RPN2
      51  F     2.046E-01         170     NCR1
      52  F     2.045E-01         170     DPPA2
      53  F     2.027E-01         170     PTGES3L.AARSD1
      54  F     2.026E-01         170     NFIC
      55  F     1.970E-01         170     KRT222
      56  F     1.964E-01         170     DENND5A
      57  F     1.936E-01         170     STEAP4
      58  F     1.907E-01         170     WDR74
      59  F     1.884E-01         170     PPP2R2B
      60  F     1.874E-01         170     DIS3L
      61  F     1.857E-01         170     GLI3
      62  F     1.838E-01         170     GULP1
      63  F     1.833E-01         170     HNF1A
      64  F     1.828E-01         170     CMAS
      65  F     1.822E-01         170     MTA3
      66  F     1.804E-01         170     ARHGAP26
      67  F     1.802E-01         170     CST3
      68  F     1.800E-01         170     RAB40A
      69  F     1.799E-01         170     ARHGEF37
      70  F     1.788E-01         170     DNAH1
      71  F     1.786E-01         170     ATP2B2
      72  F     1.730E-01         170     LINC00696
      73  F     1.730E-01         170     BCDIN3D
      74  F     1.730E-01         170     SKIDA1
      75  F     1.730E-01         170     CDC42EP2
      76  F     1.730E-01         170     HYLS1
      77  F     1.730E-01         170     C15orf52
      78  F     1.730E-01         170     NUDT11
      79  F     1.730E-01         170     UBE2T
      80  F     1.728E-01         170     HOXC4
      81  F     1.715E-01         170     GPR83
      82  F     1.701E-01         170     SNRK
      83  F     1.667E-01         170     ENO1
      84  F     1.667E-01         170     MMP17
      85  F     1.663E-01         170     FAN1
      86  F     1.661E-01         170     GAL3ST4
      87  F     1.641E-01         170     IFNAR2
      88  F     1.638E-01         170     CPSF6
      89  F     1.635E-01         170     PCDP1
      90  F     1.631E-01         170     FLCN
      91  F     1.630E-01         170     CPT1B
      92  F     1.628E-01         170     TMUB1
      93  F     1.628E-01         170     DMRTC2
      94  F     1.628E-01         170     SMARCD1
      95  F     1.623E-01         170     TAS2R39
      96  F     1.616E-01         170     LY75
      97  F     1.614E-01         170     EDEM3
      98  F     1.610E-01         170     ATP2B3
      99  F     1.607E-01         170     CNGA2
     100  F     1.594E-01         170     MRGPRF
     101  F     1.592E-01         170     GPR158
     102  F     1.587E-01         170     ACTC1
     103  F     1.580E-01         170     ZNF416
     104  F     1.577E-01         170     COL6A2
     105  F     1.563E-01         170     LLGL1
     106  F     1.554E-01         170     NHS
     107  F     1.550E-01         170     GRXCR1
     108  F     1.544E-01         170     UBQLN1
     109  F     1.539E-01         170     P2RY10
     110  F     1.535E-01         170     MMP19
     111  F     1.521E-01         170     FAM83G
     112  F     1.518E-01         170     MICAL2
     113  F     1.513E-01         170     SLC44A4
     114  F     1.499E-01         170     LRFN1
     115  F     1.490E-01         170     SCRT2
     116  F     1.475E-01         170     KANSL3
     117  F     1.474E-01         170     SELV
     118  F     1.473E-01         170     XRCC1
     119  F     1.471E-01         170     PCDH12
     120  F     1.465E-01         170     MYOCD
     121  F     1.464E-01         170     ZNF341
     122  F     1.447E-01         170     EFS
     123  F     1.439E-01         170     ZNF581
     124  F     1.437E-01         170     BCL2L11
     125  F     1.433E-01         170     TMEM115
     126  F     1.430E-01         170     AFAP1L1
     127  F     1.424E-01         170     RASAL1
     128  F     1.416E-01         170     G2E3
     129  F     1.414E-01         170     CCDC149
     130  F     1.412E-01         170     CASD1
     131  F     1.411E-01         170     PSG11
     132  F     1.410E-01         170     ACTL7B
     133  F     1.408E-01         170     POU2F2
     134  F     1.403E-01         170     LPP
     135  F     1.402E-01         170     ATAT1
     136  F     1.392E-01         170     DUSP11
     137  F     1.392E-01         170     CST2
     138  F     1.392E-01         170     KRTAP12.4
     139  F     1.388E-01         170     TMEM259
     140  F     1.387E-01         170     HNRNPM
     141  F     1.383E-01         170     CEP41
     142  F     1.381E-01         170     TBX3
     143  F     1.379E-01         170     MGMT
     144  F     1.377E-01         170     NTS
     145  F     1.373E-01         170     ERCC5
     146  F     1.373E-01         170     C3orf20
     147  F     1.364E-01         170     MAP2K5
     148  F     1.363E-01         170     RBM17
     149  F     1.358E-01         170     GNAS.AS1
     150  F     1.358E-01         170     ASIC4
     151  F     1.350E-01         170     GNAT3
     152  F     1.349E-01         170     WFDC5
     153  F     1.345E-01         170     SEMA6B
     154  F     1.345E-01         170     ZC3H6
     155  F     1.341E-01         170     SUCNR1
     156  F     1.339E-01         170     TNK2
     157  F     1.332E-01         170     CPA4
     158  F     1.323E-01         170     RNF13
     159  F     1.319E-01         170     WDR25
     160  F     1.316E-01         170     XPC
     161  F     1.305E-01         170     TBC1D8
     162  F     1.303E-01         170     BIN2
     163  F     1.303E-01         170     PPM1K
     164  F     1.302E-01         170     ARPC4
     165  F     1.301E-01         170     ERCC2
     166  F     1.301E-01         170     EPHX1
     167  F     1.300E-01         170     SHQ1
     168  F     1.299E-01         170     ANXA1
     169  F     1.297E-01         170     MAGEB1
     170  F     1.296E-01         170     GUK1
