    Rank Group    Score       Missing     Variable
       1  F     6.307E-01         165     C2orf57
       2  F     6.293E-01         165     MYO18B
       3  F     6.153E-01         165     MX2
       4  F     4.920E-01         165     ANKS1B
       5  F     4.743E-01         165     NFIC
       6  F     4.104E-01         165     GLI3
       7  F     3.666E-01         165     POU6F2
       8  F     3.397E-01         165     NCOR1
       9  F     3.186E-01         165     CCDC180
      10  F     3.184E-01         165     RBM14
      11  F     2.930E-01         165     ZNF350
      12  F     2.865E-01         165     MMP14
      13  F     2.604E-01         165     LY75
      14  F     2.596E-01         165     NHS
      15  F     2.461E-01         165     SPRY2
      16  F     2.405E-01         165     SELV
      17  F     2.372E-01         165     PLXNB3
      18  F     2.340E-01         165     RAP1GDS1
      19  F     2.268E-01         165     HNF1A
      20  F     2.095E-01         165     OSBP2
      21  F     2.077E-01         165     GSS
      22  F     2.077E-01         165     FIP1L1
      23  F     2.077E-01         165     GYG1
      24  F     2.077E-01         165     PRPS2
      25  F     2.060E-01         165     GULP1
      26  F     2.054E-01         165     SYMPK
      27  F     2.047E-01         165     PON3
      28  F     2.047E-01         165     KRT6B
      29  F     2.047E-01         165     CLINT1
      30  F     2.047E-01         165     NHEJ1
      31  F     2.029E-01         165     FOLR4
      32  F     2.024E-01         165     PAPL
      33  F     2.017E-01         165     POLQ
      34  F     1.990E-01         165     ZNF229
      35  F     1.983E-01         165     TBC1D8
      36  F     1.981E-01         165     AFAP1L1
      37  F     1.974E-01         165     NRROS
      38  F     1.954E-01         165     HSPBAP1
      39  F     1.950E-01         165     OR4N5
      40  F     1.923E-01         165     WDR74
      41  F     1.918E-01         165     ZNF416
      42  F     1.895E-01         165     TET3
      43  F     1.869E-01         165     DUSP11
      44  F     1.815E-01         165     MTIF2
      45  F     1.813E-01         165     ZIC4
      46  F     1.806E-01         165     ZNF573
      47  F     1.798E-01         165     GABRB2
      48  F     1.786E-01         165     DNAI2
      49  F     1.780E-01         165     GRIA3
      50  F     1.759E-01         165     DDX23
      51  F     1.750E-01         165     TAS2R39
      52  F     1.746E-01         165     SLC4A10
      53  F     1.721E-01         165     TMEM115
      54  F     1.689E-01         165     SLC4A2
      55  F     1.685E-01         165     CLDN14
      56  F     1.676E-01         165     OR2AT4
      57  F     1.667E-01         165     PPEF2
      58  F     1.666E-01         165     CNBD2
      59  F     1.665E-01         165     DPPA2
      60  F     1.654E-01         165     ZNF418
      61  F     1.650E-01         165     ATIC
      62  F     1.647E-01         165     OR5K4
      63  F     1.638E-01         165     ENO1
      64  F     1.636E-01         165     WDR25
      65  F     1.630E-01         165     CPA4
      66  F     1.619E-01         165     EN1
      67  F     1.613E-01         165     NUP210
      68  F     1.605E-01         165     LAMB1
      69  F     1.604E-01         165     STK33
      70  F     1.600E-01         165     AIFM3
      71  F     1.590E-01         165     RNF123
      72  F     1.586E-01         165     ZNF347
      73  F     1.579E-01         165     DVL3
      74  F     1.564E-01         165     ATP5SL
      75  F     1.557E-01         165     PTPN12
      76  F     1.546E-01         165     CD33
      77  F     1.537E-01         165     ITGB7
      78  F     1.527E-01         165     VPS13D
      79  F     1.506E-01         165     ARHGEF37
      80  F     1.504E-01         165     WDR19
      81  F     1.492E-01         165     OR10G8
      82  F     1.475E-01         165     MBD4
      83  F     1.473E-01         165     FGFR3
      84  F     1.470E-01         165     SMARCD1
      85  F     1.465E-01         165     SHQ1
      86  F     1.464E-01         165     ANKRD26
      87  F     1.456E-01         165     ATP2B3
      88  F     1.445E-01         165     LRRC19
      89  F     1.431E-01         165     PRKCE
      90  F     1.430E-01         165     CST3
      91  F     1.428E-01         165     LLGL1
      92  F     1.427E-01         165     FOXA2
      93  F     1.411E-01         165     HNMT
      94  F     1.409E-01         165     PTCHD3
      95  F     1.401E-01         165     TNS1
      96  F     1.396E-01         165     PRLHR
