    Rank Group    Score       Missing     Variable
       1  F     9.237E-01           0     RPS15
       2  F     5.037E-01           0     TBC1D2
       3  F     4.036E-01           0     SF3B1
       4  F     3.012E-01           0     ZCCHC3
       5  F     2.946E-01           0     FBXO10
       6  F     2.946E-01           0     IL36RN
       7  F     2.946E-01           0     KCNE2
       8  F     2.946E-01           0     TOMM34
       9  F     2.677E-01           0     MTERFD2
      10  F     2.319E-01           0     NOTCH1
      11  F     2.151E-01           0     VAMP2
      12  F     2.108E-01           0     HCG25
      13  F     1.865E-01           0     FBXW8
      14  F     1.683E-01           0     PRRT3
      15  F     1.585E-01           0     ZNF480
      16  F     1.557E-01           0     UVRAG
      17  F     1.491E-01           0     H2AC15
      18  F     1.462E-01           0     DUSP16
      19  F     1.384E-01           0     ESPN
      20  F     1.354E-01           0     RGAG4
      21  F     1.205E-01           0     KIAA1257
      22  F     1.185E-01           0     ATP11B
      23  F     1.055E-01           0     TBL1XR1
      24  F     9.567E-02           0     PTPN12
      25  F     9.427E-02           0     NACA
      26  F     8.123E-02           0     C7orf33
      27  F     7.754E-02           0     XPO1
      28  F     7.484E-02           0     GTF2I
      29  F     7.421E-02           0     PNPT1
      30  F     6.526E-02           0     IGLL5
      31  F     5.911E-02           0     IL1RAPL2
      32  F     5.547E-02           0     SMAD3
      33  F     5.440E-02           0     XIRP2
      34  F     5.353E-02           0     MUC3A
      35  F     5.240E-02           0     CREBZF
      36  F     5.170E-02           0     RPL12P1
      37  F     5.040E-02           0     SMPD4P2
      38  F     5.011E-02           0     TFG
      39  F     4.194E-02           0     SLC44A4
      40  F     4.098E-02           0     NEK2
      41  F     4.033E-02           0     TTN
      42  F     3.894E-02           0     HOXC8
      43  F     3.636E-02           0     BCL11A
      44  F     3.451E-02           0     KLB
      45  F     3.359E-02           0     KLK9
      46  F     2.955E-02           0     MYD88
      47  F     2.840E-02           0     LARP7
      48  F     2.739E-02           0     TBC1D26
      49  F     2.704E-02           0     TOMM40
      50  F     2.644E-02           0     COL1A2
      51  F     2.513E-02           0     HECTD4
      52  F     2.465E-02           0     GNAS.AS1
      53  F     2.244E-02           0     DSCR3
      54  F     2.158E-02           0     NRSN1
      55  F     2.037E-02           0     NEB
