    Rank Group    Score       Missing     Variable
       1  F     9.849E-01           0     HCG25
       2  F     5.932E-01           0     RPS15
       3  F     3.092E-01           0     IL1RAPL2
       4  F     2.682E-01           0     MTERFD2
       5  F     2.303E-01           0     TMB_NONSYNONYMOUS
       6  F     2.167E-01           0     SF3B1
       7  F     2.063E-01           0     ESPN
       8  F     2.042E-01           0     VAMP2
       9  F     1.788E-01           0     PRRT3
      10  F     1.430E-01           0     ZCCHC3
      11  F     1.353E-01           0     PNPT1
      12  F     1.336E-01           0     TBC1D2
      13  F     1.272E-01           0     RGAG4
      14  F     1.268E-01           0     DUSP16
      15  F     1.143E-01           0     KIAA1257
      16  F     1.124E-01           0     NACA
      17  F     1.057E-01           0     PTPN12
      18  F     9.141E-02           0     LILRB1
      19  F     8.996E-02           0     ZNF480
      20  F     8.484E-02           0     FBXW8
      21  F     8.217E-02           0     KLK9
      22  F     8.143E-02           0     NOTCH1
      23  F     7.791E-02           0     XIRP2
      24  F     6.997E-02           0     HOXC8
      25  F     6.652E-02           0     SMAD3
      26  F     6.368E-02           0     ZNF80
      27  F     6.215E-02           0     IGLL5
      28  F     5.630E-02           0     XPO1
      29  F     5.415E-02           0     CREBZF
      30  F     5.353E-02           0     TTN
      31  F     5.192E-02           0     COL1A2
      32  F     5.179E-02           0     TFG
      33  F     5.004E-02           0     PCGF1
      34  F     4.738E-02           0     GNAS.AS1
      35  F     4.447E-02           0     SLC44A4
      36  F     4.369E-02           0     HECTD4
      37  F     4.343E-02           0     UVRAG
      38  F     4.331E-02           0     C7orf33
      39  F     3.625E-02           0     IRF3
      40  F     3.540E-02         426     AGE
      41  F     3.438E-02           0     TMPRSS12
      42  F     3.103E-02           0     LRRC37B
      43  F     3.031E-02           0     TOMM34
      44  F     3.031E-02           0     FBXO10
      45  F     3.031E-02           0     KCNE2
      46  F     3.031E-02           0     EED
      47  F     3.031E-02           0     IL36RN
      48  F     2.993E-02           0     LARP7
      49  F     2.987E-02           0     SLC26A4
      50  F     2.900E-02           0     H2AC15
      51  F     2.865E-02           0     TOMM40
      52  F     2.840E-02           0     NFRKB
      53  F     2.725E-02           0     NORMAL_MEAN_COVERAGE
      54  F     2.694E-02           0     RPL12P1
      55  F     2.443E-02           0     SMPD4P2
      56  F     2.384E-02           0     CYFIP2
      57  F     2.331E-02           0     MUC3A
      58  F     2.214E-02           0     MYD88
      59  F     2.126E-02           0     KLB
      60  F     2.077E-02           0     BCL11A
      61  F     2.029E-02           0     KMT2E
      62  F     1.894E-02           0     NXF1
      63  F     1.832E-02           0     PCLO
      64  F     1.730E-02           0     ZGLP1
      65  F     1.666E-02           0     NRSN1
      66  F     1.576E-02           0     SEQUENCING_PLATFORM
      67  F     1.539E-02           0     LRP1B
      68  F     1.440E-02           0     TUMOR_MEAN_COVERAGE
      69  F     1.386E-02           0     ITPKB
      70  F     1.300E-02           0     VGLL3
      71  F     1.281E-02           0     HMCN1
      72  F     1.264E-02           0     COLGALT2
      73  F     1.218E-02           0     TBC1D26
      74  F     1.212E-02           0     CTSC
      75  F     1.199E-02           0     NEB
      76  F     1.111E-02           0     GMPS
      77  F     1.044E-02           0     BRAF
      78  F     1.031E-02           0     U_CLL_WES
      79  F     1.010E-02           0     FGF12
      80  F     1.006E-02           0     TXNRD2
      81  F     9.891E-03           0     SHROOM2
      82  F     9.844E-03           0     M_CLL_WES
      83  F     9.571E-03           0     USH2A
      84  F     9.071E-03           0     DSCR3
      85  F     8.854E-03           0     ALDOB
      86  F     8.744E-03           0     SLC4A8
      87  F     8.527E-03           0     MUC16
      88  F     8.301E-03           0     HEMK1
      89  F     8.245E-03           0     TFCP2
      90  F     7.850E-03           0     WDR46
      91  F     7.850E-03           0     MGA
      92  F     7.730E-03           5     TREATMENT_STATUS
      93  F     7.441E-03           0     NARG2
      94  F     7.365E-03           0     GNAZ
      95  F     6.933E-03           0     C15orf59
      96  F     6.905E-03           5     COHORT
      97  F     6.876E-03           0     LRRC16B
      98  F     6.843E-03           0     MAPK12
      99  F     6.843E-03           0     MPP4
     100  F     6.843E-03           0     ORMDL1
     101  F     6.843E-03           0     HHLA2
     102  F     6.843E-03           0     ACTR6
     103  F     6.701E-03           0     CST5
     104  F     6.692E-03           0     ATP2B1
     105  F     6.656E-03           0     KRAS
     106  F     6.631E-03           0     TRPM1
     107  F     6.452E-03           0     GPCPD1
     108  F     6.268E-03           0     PLA2G4D
     109  F     5.965E-03           0     ZNF324
     110  F     5.496E-03           0     REG3G
     111  F     5.386E-03           0     PLXDC2
     112  F     5.195E-03           0     IGFN1
     113  F     5.119E-03           0     C2orf78
     114  F     5.114E-03           0     NEUROD2
     115  F     5.092E-03           0     CD99
     116  F     4.270E-03           0     MMGT1
     117  F     4.030E-03           0     SCN11A
