 train         node      observed        predicted
     y            13    0.600000E+002    0.299500E+002
     y            13    0.600000E+002    0.299500E+002
     y            13    0.512500E+002    0.299500E+002
     y            12    0.600000E+002    0.441200E+002
     y            13    0.600000E+002    0.299500E+002
     y            13    0.600000E+002    0.299500E+002
     y            12    0.600000E+002    0.441200E+002
     y            12    0.600000E+002    0.441200E+002
     y            12    0.600000E+002    0.441200E+002
     y            12    0.600000E+002    0.441200E+002
     y            13    0.600000E+002    0.299500E+002
     y            13    0.600000E+002    0.299500E+002
     y            13    0.600000E+002    0.299500E+002
     y            13    0.600000E+002    0.299500E+002
     y            13    0.600000E+002    0.299500E+002
     y            13    0.600000E+002    0.299500E+002
     y            12    0.600000E+002    0.441200E+002
     y            12    0.600000E+002    0.441200E+002
     y            12    0.600000E+002    0.441200E+002
     y            13    0.600000E+002    0.299500E+002
     y            13    0.600000E+002    0.299500E+002
     n            15               NA    0.306600E+002
     n            15               NA    0.306600E+002
     n            15               NA    0.306600E+002
     n            15               NA    0.306600E+002
     n            15               NA    0.306600E+002
     y            15    0.353700E+002    0.306600E+002
     y            13    0.600000E+002    0.299500E+002
     y            15    0.464500E+002    0.306600E+002
     y             2    0.395500E+002    0.113400E+002
     y            15    0.219300E+002    0.306600E+002
     y            15    0.134100E+002    0.306600E+002
     y            14    0.389600E+002    0.300000E+000
     y            13    0.302800E+002    0.299500E+002
     y             2    0.128200E+002    0.113400E+002
     y            14    0.387300E+002    0.300000E+000
     y            12    0.600000E+002    0.441200E+002
     y            12    0.600000E+002    0.441200E+002
     y            15    0.600000E+002    0.306600E+002
     y            15    0.600000E+002    0.306600E+002
     y            13    0.600000E+002    0.299500E+002
     y            15    0.600000E+002    0.306600E+002
     y            15    0.600000E+002    0.306600E+002
     n            15               NA    0.306600E+002
     y            15    0.600000E+002    0.306600E+002
     y            15    0.600000E+002    0.306600E+002
     y            13    0.600000E+002    0.299500E+002
     y            15    0.600000E+002    0.306600E+002
     y            12    0.600000E+002    0.441200E+002
     y            12    0.600000E+002    0.441200E+002
     y            13    0.600000E+002    0.299500E+002
     y            12    0.600000E+002    0.441200E+002
     y            15    0.600000E+002    0.306600E+002
     y            13    0.304800E+002    0.299500E+002
     y            14    0.188700E+002    0.300000E+000
     y            13    0.600000E+002    0.299500E+002
     n            15               NA    0.306600E+002
     y            13    0.600000E+002    0.299500E+002
     y            13    0.600000E+002    0.299500E+002
     y            14    0.542100E+002    0.300000E+000
     y             2    0.289000E+002    0.113400E+002
     y            14    0.300800E+002    0.300000E+000
     y            15    0.229800E+002    0.306600E+002
     y            13    0.600000E+002    0.299500E+002
     y            12    0.600000E+002    0.441200E+002
     y            15    0.458600E+002    0.306600E+002
     y             2    0.216000E+002    0.113400E+002
     y            15    0.513500E+002    0.306600E+002
     y             2    0.105500E+002    0.113400E+002
     y            15    0.412900E+002    0.306600E+002
     y            12    0.600000E+002    0.441200E+002
     y            12    0.153500E+002    0.441200E+002
     y            15    0.600000E+002    0.306600E+002
     y            13    0.299500E+002    0.299500E+002
     y            13    0.600000E+002    0.299500E+002
     y            15    0.314600E+002    0.306600E+002
     y            13    0.600000E+002    0.299500E+002
     y             2    0.114400E+002    0.113400E+002
     y             2    0.116700E+002    0.113400E+002
     y            15    0.483000E+002    0.306600E+002
     y            13    0.600000E+002    0.299500E+002
     y            15    0.600000E+002    0.306600E+002
     y            15    0.600000E+002    0.306600E+002
     y            15    0.600000E+002    0.306600E+002
     y            15    0.600000E+002    0.306600E+002
     y            13    0.600000E+002    0.299500E+002
     y            15    0.433300E+002    0.306600E+002
     y            12    0.600000E+002    0.441200E+002
     y            15    0.600000E+002    0.306600E+002
     y            12    0.600000E+002    0.441200E+002
     y            15    0.394800E+002    0.306600E+002
     y            15    0.600000E+002    0.306600E+002
     y            15    0.509600E+002    0.306600E+002
     y            15    0.397500E+002    0.306600E+002
     y            15    0.262400E+002    0.306600E+002
     y            15    0.000000E+000    0.306600E+002
     y            15    0.322500E+002    0.306600E+002
     y            12    0.600000E+002    0.441200E+002
     y             2    0.374100E+002    0.113400E+002
     y            15    0.486900E+002    0.306600E+002
     y            12    0.600000E+002    0.441200E+002
     y            15    0.410000E+002    0.306600E+002
     y            12    0.600000E+002    0.441200E+002
     y            12    0.600000E+002    0.441200E+002
     y            15    0.600000E+002    0.306600E+002
     y            15    0.600000E+002    0.306600E+002
     y            12    0.600000E+002    0.441200E+002
     y            15    0.135500E+002    0.306600E+002
     y            14    0.172900E+002    0.300000E+000
     y            15    0.600000E+002    0.306600E+002
     y            12    0.600000E+002    0.441200E+002
     y            13    0.600000E+002    0.299500E+002
     y            15    0.600000E+002    0.306600E+002
     y             2    0.261700E+002    0.113400E+002
     y            15    0.600000E+002    0.306600E+002
     y            15    0.456300E+002    0.306600E+002
     y            15    0.600000E+002    0.306600E+002
     y            12    0.600000E+002    0.441200E+002
     y            15    0.600000E+002    0.306600E+002
     y            15    0.166700E+002    0.306600E+002
     y            13    0.600000E+002    0.299500E+002
     y            15    0.299800E+002    0.306600E+002
     y            13    0.600000E+002    0.299500E+002
     y            14    0.548400E+002    0.300000E+000
     y            14    0.273500E+002    0.300000E+000
     y            15    0.600000E+002    0.306600E+002
     y            14    0.333400E+002    0.300000E+000
     y            13    0.600000E+002    0.299500E+002
     y            15    0.600000E+002    0.306600E+002
     y            15    0.000000E+000    0.306600E+002
     y            13    0.407000E+002    0.299500E+002
     y            15    0.600000E+002    0.306600E+002
     y            13    0.600000E+002    0.299500E+002
     y            14    0.354400E+002    0.300000E+000
     y            12    0.600000E+002    0.441200E+002
     y            15    0.600000E+002    0.306600E+002
     y            13    0.579000E+002    0.299500E+002
     y            15    0.600000E+002    0.306600E+002
     y            13    0.600000E+002    0.299500E+002
     y            15    0.600000E+002    0.306600E+002
     y            13    0.600000E+002    0.299500E+002
     y            15    0.600000E+002    0.306600E+002
     y             2    0.309000E+001    0.113400E+002
     y            15    0.600000E+002    0.306600E+002
     y            15    0.600000E+002    0.306600E+002
     y            15    0.455700E+002    0.306600E+002
     y            15    0.600000E+002    0.306600E+002
     y            15    0.600000E+002    0.306600E+002
     y             2    0.600000E+002    0.113400E+002
     y            12    0.600000E+002    0.441200E+002
     y            15    0.600000E+002    0.306600E+002
     y            15    0.600000E+002    0.306600E+002
     y            12    0.600000E+002    0.441200E+002
     y            15    0.600000E+002    0.306600E+002
     y            15    0.600000E+002    0.306600E+002
     y            15    0.600000E+002    0.306600E+002
     y            15    0.600000E+002    0.306600E+002
     y            14    0.546700E+002    0.300000E+000
     y            13    0.600000E+002    0.299500E+002
     y            15    0.600000E+002    0.306600E+002
     y            12    0.600000E+002    0.441200E+002
     y            15    0.600000E+002    0.306600E+002
     y            15    0.600000E+002    0.306600E+002
     y            15    0.113800E+002    0.306600E+002
     y            15    0.574000E+002    0.306600E+002
     y            13    0.600000E+002    0.299500E+002
     y            13    0.600000E+002    0.299500E+002
     y            13    0.600000E+002    0.299500E+002
     y            12    0.600000E+002    0.441200E+002
     y            12    0.600000E+002    0.441200E+002
     y            15    0.600000E+002    0.306600E+002
     y            15    0.561900E+002    0.306600E+002
     y            13    0.600000E+002    0.299500E+002
     y            15    0.600000E+002    0.306600E+002
     y            13    0.600000E+002    0.299500E+002
     n            15               NA    0.306600E+002
     n            15               NA    0.306600E+002
     n            15               NA    0.306600E+002
     n            15               NA    0.306600E+002
     n            15               NA    0.306600E+002
     y            12    0.600000E+002    0.441200E+002
     y            12    0.600000E+002    0.441200E+002
     y            12    0.600000E+002    0.441200E+002
     y            12    0.600000E+002    0.441200E+002
     n            15               NA    0.306600E+002
     y            13    0.600000E+002    0.299500E+002
     y            12    0.600000E+002    0.441200E+002
     y            15    0.875000E+001    0.306600E+002
