    Rank Group    Score       Missing     Variable
       1  A     1.216E+01        2134     TREATMENT_AFTER_SAMPLING
       2  A     1.106E+01           0     EXPRESSION_CLUSTER
       3  A     1.008E+01           0     U_CLL_WES
       4  A     9.403E+00          44     IGHV_MUTATION_STATUS
       5  A     9.024E+00           5     CLL_EPITYPE
       6  A     8.738E+00           0     M_CLL_WES
       7  A     7.313E+00           0     PRIOR_TREATMENT_CATEGORY
       8  A     6.311E+00          88     TMB_NONSYNONYMOUS
       9  A     5.350E+00           0     TREATMENT_STATUS
      10  A     4.347E+00           0     CANCER_TYPE_DETAILED
      11  A     3.675E+00          55     IGHV_IDENTITY_PERCENTAGE
      12  A     3.653E+00           0     EC_EXTENSION
      13  A     3.265E+00         522     TUMOR_MOLECULAR_SUBTYPE
      14  A     1.577E+00          88     TUMOR_SAMPLE_PLOIDY
      15  A     1.290E+00           0     EC_DISCOVERY
      16  B     1.260E+00          88     TUMOR_MEAN_COVERAGE
      17  B     1.250E+00         725     U1_STATUS
      18  B     1.147E+00          88     NORMAL_MEAN_COVERAGE
      19  B     1.053E+00          88     TUMOR_SAMPLE_PURITY
      20  C     9.473E-01          86     IGLV3_21_R110
      21  F     6.271E-01           0     SEX
